trip_id,trip_start_time,trip_stop_time,trip_duration_seconds,from_station_id,from_station_name,to_station_id,to_station_name,user_type,origin_lat,origin_lon,destination_lat,destination_lon
712382,2017/1/1 0:00,2017/1/1 0:03,223,7051,Wellesley St E / Yonge St Green P,7089,Church St  / Wood St,Member,43.66506,-79.38357,43.662712,-79.379903
712383,2017/1/1 0:00,2017/1/1 0:05,279,7143,Kendal Ave / Bernard Ave,7154,Bathurst Subway Station,Member,43.671513,-79.408317,43.6666667,-79.41166667
712384,2017/1/1 0:05,2017/1/1 0:29,1394,7113,Parliament St / Aberdeen Ave,7199,College St W / Markham St,Member,43.665278,-79.368333,43.65638889,-79.40916667
712385,2017/1/1 0:07,2017/1/1 0:21,826,7077,College Park South,7010,King St W / Spadina Ave,Member,43.659777,-79.382767,43.645323,-79.395003
712386,2017/1/1 0:08,2017/1/1 0:12,279,7079,McGill St / Church St,7047,University Ave / Gerrard St W,Member,43.660694,-79.379052,43.657763,-79.389165
712387,2017/1/1 0:12,2017/1/1 0:22,571,7021,Bay St / Albert St,7046,Niagara St / Richmond St W,Member,43.653264,-79.382458,43.64534,-79.409597
712388,2017/1/1 0:15,2017/1/1 0:33,1084,7161,Beverly St / College St W,7176,Bathurst St / Fort York Blvd,Member,43.6575,-79.39527778,43.639179,-79.399595
712389,2017/1/1 0:15,2017/1/1 0:21,307,7195,Ulster St / Bathurst St,7037,Bathurst St / Dundas St W,Member,43.66,-79.40888889,43.6523,-79.4058
712390,2017/1/1 0:20,2017/1/1 0:31,647,7017,Widmer St / Adelaide St ,7101,Lower Sherbourne St / The Esplanade,Member,43.6475076,-79.3914841,43.648655,-79.367061
712391,2017/1/1 0:23,2017/1/1 0:27,217,7017,Widmer St / Adelaide St ,7005,University Ave / King St W,Member,43.6475076,-79.3914841,43.6480008,-79.383177
712392,2017/1/1 0:28,2017/1/1 0:36,467,7009,King St E / Jarvis St,7016,Bay St / Queens Quay W (Ferry Terminal),Member,43.650325,-79.372287,43.640823,-79.376265
712393,2017/1/1 0:28,2017/1/1 0:43,880,7032,Augusta Ave / Dundas St W,7070,25 York St (ACC/Union Station South),Member,43.652473,-79.401456,43.643667,-79.380414
712394,2017/1/1 0:31,2017/1/1 0:35,228,7177,East Liberty St / Pirandello St,7158,King St W / Stafford St,Member,43.63861111,-79.41472222,43.6422222,-79.41111111
712395,2017/1/1 0:33,2017/1/1 0:39,361,7045,Bond St / Queen St E,7060,Princess St / Adelaide St,Member,43.653236,-79.376716,43.652123,-79.367139
712396,2017/1/1 0:38,2017/1/1 0:42,227,7158,King St W / Stafford St,7177,East Liberty St / Pirandello St,Member,43.6422222,-79.41111111,43.63861111,-79.41472222
712397,2017/1/1 0:53,2017/1/1 0:59,354,7022,Simcoe St / Queen St W,7033,Union Station,Member,43.650858,-79.387582,43.645609,-79.380386
712398,2017/1/1 0:55,2017/1/1 1:05,591,7077,College Park South,7101,Lower Sherbourne St / The Esplanade,Member,43.659777,-79.382767,43.648655,-79.367061
712399,2017/1/1 0:59,2017/1/1 1:02,169,7028,Gould St / Mutual St,7164,Victoria St / Gould St (Ryerson University),Member,43.6582,-79.3768,43.657424,-79.381019
712400,2017/1/1 0:59,2017/1/1 1:07,451,7038,Dundas St / Yonge St,7065,Dundas St E / Parliament St,Member,43.656094,-79.381484,43.659575,-79.365769
712401,2017/1/1 1:02,2017/1/1 1:17,920,7130,Davenport Rd / Bedford Rd,7038,Dundas St / Yonge St,Member,43.6743985,-79.3986601,43.656094,-79.381484
712402,2017/1/1 1:07,2017/1/1 1:11,256,7042,Sherbourne St / Wellesley St,7031,Jarvis St / Isabella St,Member,43.6673,-79.374,43.668991,-79.379385
712403,2017/1/1 1:12,2017/1/1 1:19,398,7160,King St W / Tecumseth St,7054,Navy Wharf Ct. / Bremner Blvd.,Member,43.64333333,-79.40555556,43.640722,-79.391051
712404,2017/1/1 1:14,2017/1/1 1:30,982,7004,University Ave / Elm St,7164,Victoria St / Gould St (Ryerson University),Member,43.656518,-79.389099,43.657424,-79.381019
712405,2017/1/1 1:29,2017/1/1 1:33,261,7163,Yonge St / Wood St,7041,Edward St / Yonge St,Member,43.6622222,-79.3825,43.656729,-79.382736
712406,2017/1/1 1:31,2017/1/1 1:34,182,7164,Victoria St / Gould St (Ryerson University),7045,Bond St / Queen St E,Member,43.657424,-79.381019,43.653236,-79.376716
712407,2017/1/1 1:31,2017/1/1 1:44,780,7050,Richmond St E / Jarvis St Green P,7043,Queens Quay W / Lower Simcoe St,Member,43.652634,-79.374222,43.63951,-79.383717
712408,2017/1/1 1:32,2017/1/1 1:51,1183,7133,Summerhill Station,7049,Queen St W / Portland St,Member,43.681944,-79.390556,43.6476,-79.4015
712409,2017/1/1 1:32,2017/1/1 1:40,474,7192,Harbord St / Clinton St,7205,Rusholme Park Cres / College St W,Casual,43.660414,-79.415646,43.65277778,-79.42972222
712410,2017/1/1 1:40,2017/1/1 1:48,473,7070,25 York St (ACC/Union Station South),7000,Fort York  Blvd / Capreol Crt,Member,43.643667,-79.380414,43.639832,-79.395954
712411,2017/1/1 1:43,2017/1/1 2:00,999,7059,Front St W / Blue Jays Way,7208,80 Clinton St (North of College),Member,43.643473,-79.390477,43.656296,-79.414663
712412,2017/1/1 1:50,2017/1/1 1:55,310,7047,University Ave / Gerrard St W,7163,Yonge St / Wood St,Member,43.657763,-79.389165,43.6622222,-79.3825
712413,2017/1/1 1:50,2017/1/1 2:06,955,7023,College St W / Borden St,7197,Queen St W / Dovercourt Rd,Member,43.6571,-79.4056,43.64361111,-79.4225
712414,2017/1/1 1:58,2017/1/1 2:14,978,7073,Bremner Blvd / Spadina Ave,7109,Seaton St / Dundas St E,Member,43.640114,-79.393249,43.658777,-79.369596
712415,2017/1/1 2:04,2017/1/1 2:19,901,7054,Navy Wharf Ct. / Bremner Blvd.,7208,80 Clinton St (North of College),Member,43.640722,-79.391051,43.656296,-79.414663
712416,2017/1/1 2:08,2017/1/1 2:13,277,7038,Dundas St / Yonge St,7044,Church St / Alexander St,Member,43.656094,-79.381484,43.663722,-79.380288
712417,2017/1/1 2:11,2017/1/1 2:22,603,7004,University Ave / Elm St,7163,Yonge St / Wood St,Member,43.656518,-79.389099,43.6622222,-79.3825
712418,2017/1/1 2:12,2017/1/1 2:21,542,7004,University Ave / Elm St,7163,Yonge St / Wood St,Member,43.656518,-79.389099,43.6622222,-79.3825
712419,2017/1/1 2:17,2017/1/1 2:25,439,7065,Dundas St E / Parliament St,7038,Dundas St / Yonge St,Member,43.659575,-79.365769,43.656094,-79.381484
712420,2017/1/1 2:25,2017/1/1 2:38,801,7122,Niagara St / Tecumseth St,7040,Euclid Ave / Bloor St W,Member,43.641389,-79.404444,43.664467,-79.414783
712421,2017/1/1 2:30,2017/1/1 2:43,768,7094,Chester Station,7042,Sherbourne St / Wellesley St,Member,43.6784556,-79.351014,43.6673,-79.374
712422,2017/1/1 2:47,2017/1/1 2:54,423,7033,Union Station,7016,Bay St / Queens Quay W (Ferry Terminal),Member,43.645609,-79.380386,43.640823,-79.376265
712423,2017/1/1 2:47,2017/1/1 2:53,378,7033,Union Station,7016,Bay St / Queens Quay W (Ferry Terminal),Member,43.645609,-79.380386,43.640823,-79.376265
712424,2017/1/1 2:53,2017/1/1 2:56,182,7034,Church St / Bloor St E,7024,Dundonald St / Church St,Member,43.671389,-79.382919,43.66663,-79.38148
712425,2017/1/1 3:00,2017/1/1 3:15,876,7144,Palmerston Ave / Vermont Ave,7006,Bay St / College St (East Side),Member,43.671389,-79.416389,43.660439,-79.385525
712426,2017/1/1 3:01,2017/1/1 3:14,782,7202,Queen St W / York St (City Hall),7072,Queen St W / Shaw St,Member,43.651667,-79.384167,43.636611,-79.400042
712427,2017/1/1 3:04,2017/1/1 3:12,487,7093,Danforth Ave / Gough Ave,7096,Boston Ave / Queen St E,Member,43.678401,-79.346289,43.661508,-79.338931
712428,2017/1/1 3:07,2017/1/1 3:14,476,7077,College Park South,7039,Simcoe St / Dundas St W,Member,43.659777,-79.382767,43.65232722,-79.38825382
712429,2017/1/1 3:17,2017/1/1 3:46,1702,7039,Simcoe St / Dundas St W,7057,Simcoe St / Wellington St W,Member,43.65232722,-79.38825382,43.6458569,-79.3853654
712430,2017/1/1 3:25,2017/1/1 3:34,509,7006,Bay St / College St (East Side),7042,Sherbourne St / Wellesley St,Member,43.660439,-79.385525,43.6673,-79.374
712431,2017/1/1 3:43,2017/1/1 3:51,494,7163,Yonge St / Wood St,7047,University Ave / Gerrard St W,Member,43.6622222,-79.3825,43.657763,-79.389165
712432,2017/1/1 3:43,2017/1/1 3:50,425,7163,Yonge St / Wood St,7047,University Ave / Gerrard St W,Member,43.6622222,-79.3825,43.657763,-79.389165
712433,2017/1/1 3:44,2017/1/1 3:50,388,7163,Yonge St / Wood St,7047,University Ave / Gerrard St W,Member,43.6622222,-79.3825,43.657763,-79.389165
712435,2017/1/1 3:48,2017/1/1 4:02,851,7005,University Ave / King St W,7046,Niagara St / Richmond St W,Member,43.6480008,-79.383177,43.64534,-79.409597
712436,2017/1/1 3:48,2017/1/1 4:00,693,7070,25 York St (ACC/Union Station South),7172,Strachan Ave / Princes' Blvd,Member,43.643667,-79.380414,43.635,-79.40888889
712437,2017/1/1 3:49,2017/1/1 3:57,487,7057,Simcoe St / Wellington St W,7069,Queen St W / Spadina Ave,Member,43.6458569,-79.3853654,43.649147,-79.395504
712438,2017/1/1 3:50,2017/1/1 3:58,471,7042,Sherbourne St / Wellesley St,7167,Queen St E / George St (Moss Park),Member,43.6673,-79.374,43.6544444,-79.37111111
712439,2017/1/1 3:51,2017/1/1 3:58,453,7026,Bay St / St. Joseph St,7027,Beverly  St / Dundas St W,Member,43.665527,-79.387499,43.652823,-79.393388
712440,2017/1/1 3:54,2017/1/1 4:01,375,7032,Augusta Ave / Dundas St W,7207,Dundas St W / Crawford St,Member,43.652473,-79.401456,43.649722,-79.416944
712441,2017/1/1 4:03,2017/1/1 4:08,274,7006,Bay St / College St (East Side),7021,Bay St / Albert St,Member,43.660439,-79.385525,43.653264,-79.382458
712442,2017/1/1 4:03,2017/1/1 4:12,538,7046,Niagara St / Richmond St W,7147,King St W / Fraser Ave,Member,43.64534,-79.409597,43.6394444,-79.42527778
712443,2017/1/1 4:05,2017/1/1 4:22,992,7048,Front St / Yonge St (Hockey Hall of Fame),7089,Church St  / Wood St,Member,43.646144,-79.377962,43.662712,-79.379903
712444,2017/1/1 4:09,2017/1/1 4:26,1005,7177,East Liberty St / Pirandello St,7202,Queen St W / York St (City Hall),Member,43.63861111,-79.41472222,43.651667,-79.384167
712445,2017/1/1 4:14,2017/1/1 4:25,645,7203,Bathurst St / Queens Quay W,7010,King St W / Spadina Ave,Member,43.635492,-79.398253,43.645323,-79.395003
712446,2017/1/1 4:15,2017/1/1 4:26,660,7193,Queen St W / Gladstone Ave,7123,424 Wellington St. W,Member,43.64305556,-79.4275,43.643834,-79.396649
712447,2017/1/1 4:15,2017/1/1 4:25,625,7003,Madison Ave / Bloor St W,7003,Madison Ave / Bloor St W,Member,43.667158,-79.402761,43.667158,-79.402761
712448,2017/1/1 4:17,2017/1/1 4:23,348,7000,Fort York  Blvd / Capreol Crt,7070,25 York St (ACC/Union Station South),Member,43.639832,-79.395954,43.643667,-79.380414
712449,2017/1/1 4:24,2017/1/1 4:29,288,7078,College St W / Major St,7061,Bloor St / Brunswick Ave,Member,43.6576,-79.4032,43.6662942,-79.4066433
712450,2017/1/1 4:30,2017/1/1 4:40,614,7023,College St W / Borden St,7102,Nelson St / Duncan St,Casual,43.6571,-79.4056,43.648711,-79.389728
712451,2017/1/1 4:30,2017/1/1 4:40,612,7023,College St W / Borden St,7102,Nelson St / Duncan St,Casual,43.6571,-79.4056,43.648711,-79.389728
712452,2017/1/1 4:33,2017/1/1 4:39,373,7044,Church St / Alexander St,7045,Bond St / Queen St E,Member,43.663722,-79.380288,43.653236,-79.376716
712453,2017/1/1 4:36,2017/1/1 4:40,248,7051,Wellesley St E / Yonge St Green P,7031,Jarvis St / Isabella St,Member,43.66506,-79.38357,43.668991,-79.379385
712454,2017/1/1 4:36,2017/1/1 5:06,1801,7026,Bay St / St. Joseph St,7022,Simcoe St / Queen St W,Member,43.665527,-79.387499,43.650858,-79.387582
712455,2017/1/1 4:37,2017/1/1 5:07,1793,7026,Bay St / St. Joseph St,7022,Simcoe St / Queen St W,Member,43.665527,-79.387499,43.650858,-79.387582
712456,2017/1/1 4:46,2017/1/1 4:52,329,7022,Simcoe St / Queen St W,7050,Richmond St E / Jarvis St Green P,Member,43.650858,-79.387582,43.652634,-79.374222
712457,2017/1/1 4:53,2017/1/1 4:59,343,7100,Dundas St E / Regent Park Blvd,7060,Princess St / Adelaide St,Member,43.660207,-79.361275,43.652123,-79.367139
712458,2017/1/1 4:59,2017/1/1 5:05,397,7169,Front St / Bay St (North Side),7019,Temperance St / Yonge St,Member,43.646162,-79.378912,43.6507021,-79.3800546
712459,2017/1/1 5:08,2017/1/1 5:21,769,7022,Simcoe St / Queen St W,7033,Union Station,Member,43.650858,-79.387582,43.645609,-79.380386
712461,2017/1/1 5:09,2017/1/1 5:14,301,7021,Bay St / Albert St,7038,Dundas St / Yonge St,Member,43.653264,-79.382458,43.656094,-79.381484
712460,2017/1/1 5:09,2017/1/1 5:21,694,7022,Simcoe St / Queen St W,7033,Union Station,Member,43.650858,-79.387582,43.645609,-79.380386
712462,2017/1/1 5:10,2017/1/1 5:33,1403,7015,King St W / Bay St (West Side),7177,East Liberty St / Pirandello St,Member,43.64852,-79.380576,43.63861111,-79.41472222
712463,2017/1/1 5:10,2017/1/1 5:17,394,7168,Queens Quay / Yonge St,7018,Bremner Blvd / Rees St,Member,43.641646,-79.375308,43.641529,-79.386741
712464,2017/1/1 5:12,2017/1/1 5:18,327,7046,Niagara St / Richmond St W,7177,East Liberty St / Pirandello St,Member,43.64534,-79.409597,43.63861111,-79.41472222
712465,2017/1/1 5:19,2017/1/1 5:27,426,7164,Victoria St / Gould St (Ryerson University),7024,Dundonald St / Church St,Member,43.657424,-79.381019,43.66663,-79.38148
712466,2017/1/1 5:23,2017/1/1 5:42,1136,7019,Temperance St / Yonge St,7176,Bathurst St / Fort York Blvd,Member,43.6507021,-79.3800546,43.639179,-79.399595
712467,2017/1/1 5:33,2017/1/1 5:36,218,7147,King St W / Fraser Ave,7111,King St W / Douro St,Member,43.6394444,-79.42527778,43.640885,-79.416379
712468,2017/1/1 5:36,2017/1/1 5:43,368,7009,King St E / Jarvis St,7108,Front St E / Cherry St,Member,43.650325,-79.372287,43.652686,-79.358395
712469,2017/1/1 5:43,2017/1/1 5:48,308,7127,Bay St / Davenport Rd,7026,Bay St / St. Joseph St,Member,43.672829,-79.390592,43.665527,-79.387499
712470,2017/1/1 5:49,2017/1/1 6:00,677,7011,Wellington St W / Portland St,7073,Bremner Blvd / Spadina Ave,Member,43.642982,-79.399256,43.640114,-79.393249
712471,2017/1/1 5:55,2017/1/1 6:12,1036,7109,Seaton St / Dundas St E,7073,Bremner Blvd / Spadina Ave,Member,43.658777,-79.369596,43.640114,-79.393249
712472,2017/1/1 6:00,2017/1/1 6:06,367,7073,Bremner Blvd / Spadina Ave,7160,King St W / Tecumseth St,Member,43.640114,-79.393249,43.64333333,-79.40555556
712474,2017/1/1 6:02,2017/1/1 6:07,303,7207,Dundas St W / Crawford St,7189,Augusta Ave / Denison Sq,Member,43.649722,-79.416944,43.653766,-79.4016759
712475,2017/1/1 6:09,2017/1/1 6:18,509,7060,Princess St / Adelaide St,7100,Dundas St E / Regent Park Blvd,Member,43.652123,-79.367139,43.660207,-79.361275
712476,2017/1/1 6:12,2017/1/1 6:21,493,7005,University Ave / King St W,7010,King St W / Spadina Ave,Member,43.6480008,-79.383177,43.645323,-79.395003
712477,2017/1/1 6:18,2017/1/1 6:22,217,7073,Bremner Blvd / Spadina Ave,7176,Bathurst St / Fort York Blvd,Member,43.640114,-79.393249,43.639179,-79.399595
712478,2017/1/1 6:20,2017/1/1 6:23,185,7136,Queen St W / Close Ave,7193,Queen St W / Gladstone Ave,Member,43.640634,-79.435841,43.64305556,-79.4275
712479,2017/1/1 6:20,2017/1/1 6:23,192,7052,Wellington St W / Bay St,7005,University Ave / King St W,Member,43.647259,-79.379878,43.6480008,-79.383177
712480,2017/1/1 6:23,2017/1/1 6:28,281,7059,Front St W / Blue Jays Way,7176,Bathurst St / Fort York Blvd,Member,43.643473,-79.390477,43.639179,-79.399595
712481,2017/1/1 6:26,2017/1/1 6:31,295,7038,Dundas St / Yonge St,7039,Simcoe St / Dundas St W,Member,43.656094,-79.381484,43.65232722,-79.38825382
712482,2017/1/1 6:27,2017/1/1 6:38,657,7070,25 York St (ACC/Union Station South),7011,Wellington St W / Portland St,Member,43.643667,-79.380414,43.642982,-79.399256
712483,2017/1/1 6:41,2017/1/1 6:44,172,7031,Jarvis St / Isabella St,7115,Howard St / Sherbourne St,Member,43.668991,-79.379385,43.6712581,-79.376367
712484,2017/1/1 6:42,2017/1/1 6:44,79,7060,Princess St / Adelaide St,7060,Princess St / Adelaide St,Member,43.652123,-79.367139,43.652123,-79.367139
712485,2017/1/1 6:54,2017/1/1 7:04,573,7044,Church St / Alexander St,7110,Queen St E / Berkely St,Member,43.663722,-79.380288,43.6552778,-79.36583333
712486,2017/1/1 6:54,2017/1/1 7:04,554,7044,Church St / Alexander St,7110,Queen St E / Berkely St,Member,43.663722,-79.380288,43.6552778,-79.36583333
712487,2017/1/1 6:56,2017/1/1 7:11,904,7153,Bloor St W / Christie St,7051,Wellesley St E / Yonge St Green P,Member,43.6638889,-79.41888889,43.66506,-79.38357
712488,2017/1/1 7:04,2017/1/1 7:12,490,7017,Widmer St / Adelaide St ,7041,Edward St / Yonge St,Member,43.6475076,-79.3914841,43.656729,-79.382736
712489,2017/1/1 7:14,2017/1/1 7:24,608,7035,Queen St W / Ossington Ave,7017,Widmer St / Adelaide St ,Member,43.643975,-79.419576,43.6475076,-79.3914841
712491,2017/1/1 7:24,2017/1/1 7:34,626,7027,Beverly  St / Dundas St W,7044,Church St / Alexander St,Member,43.652823,-79.393388,43.663722,-79.380288
712492,2017/1/1 7:24,2017/1/1 7:41,1001,7051,Wellesley St E / Yonge St Green P,7153,Bloor St W / Christie St,Member,43.66506,-79.38357,43.6638889,-79.41888889
712493,2017/1/1 7:25,2017/1/1 7:37,730,7102,Nelson St / Duncan St,7023,College St W / Borden St,Casual,43.648711,-79.389728,43.6571,-79.4056
712494,2017/1/1 7:26,2017/1/1 7:37,706,7102,Nelson St / Duncan St,7023,College St W / Borden St,Casual,43.648711,-79.389728,43.6571,-79.4056
712495,2017/1/1 7:40,2017/1/1 7:48,491,7016,Bay St / Queens Quay W (Ferry Terminal),7060,Princess St / Adelaide St,Member,43.640823,-79.376265,43.652123,-79.367139
712496,2017/1/1 7:50,2017/1/1 8:00,588,7102,Nelson St / Duncan St,7050,Richmond St E / Jarvis St Green P,Member,43.648711,-79.389728,43.652634,-79.374222
712497,2017/1/1 7:52,2017/1/1 7:56,243,7051,Wellesley St E / Yonge St Green P,7042,Sherbourne St / Wellesley St,Member,43.66506,-79.38357,43.6673,-79.374
712498,2017/1/1 7:56,2017/1/1 8:02,373,7193,Queen St W / Gladstone Ave,7205,Rusholme Park Cres / College St W,Member,43.64305556,-79.4275,43.65277778,-79.42972222
712499,2017/1/1 8:21,2017/1/1 8:34,786,7197,Queen St W / Dovercourt Rd,7037,Bathurst St / Dundas St W,Member,43.64361111,-79.4225,43.6523,-79.4058
712500,2017/1/1 8:27,2017/1/1 8:46,1157,7075,Queens Quay W / Dan Leckie Way,7112,Liberty St / Fraser Ave Green P,Member,43.636533,-79.395854,43.637981,-79.424146
712501,2017/1/1 8:28,2017/1/1 8:35,448,7013,Scott St / The Esplanade,7059,Front St W / Blue Jays Way,Member,43.64656,-79.375274,43.643473,-79.390477
712502,2017/1/1 8:37,2017/1/1 8:51,861,7037,Bathurst St / Dundas St W,7028,Gould St / Mutual St,Member,43.6523,-79.4058,43.6582,-79.3768
712503,2017/1/1 8:47,2017/1/1 8:54,433,7002,St George St / Bloor St W,7025,Ted Rogers Way / Bloor St E,Member,43.667333,-79.399429,43.671293,-79.380471
712504,2017/1/1 9:01,2017/1/1 9:09,503,7042,Sherbourne St / Wellesley St,7050,Richmond St E / Jarvis St Green P,Member,43.6673,-79.374,43.652634,-79.374222
712505,2017/1/1 9:10,2017/1/1 9:25,912,7197,Queen St W / Dovercourt Rd,7023,College St W / Borden St,Member,43.64361111,-79.4225,43.6571,-79.4056
712506,2017/1/1 9:22,2017/1/1 9:43,1299,7093,Danforth Ave / Gough Ave,7034,Church St / Bloor St E,Member,43.678401,-79.346289,43.671389,-79.382919
712507,2017/1/1 9:22,2017/1/1 9:26,257,7065,Dundas St E / Parliament St,7121,Jarvis St / Dundas St E,Member,43.659575,-79.365769,43.657266,-79.374756
712508,2017/1/1 9:43,2017/1/1 10:02,1145,7034,Church St / Bloor St E,7189,Augusta Ave / Denison Sq,Member,43.671389,-79.382919,43.653766,-79.4016759
712509,2017/1/1 9:54,2017/1/1 10:05,662,7163,Yonge St / Wood St,7005,University Ave / King St W,Member,43.6622222,-79.3825,43.6480008,-79.383177
712510,2017/1/1 9:57,2017/1/1 10:03,359,7100,Dundas St E / Regent Park Blvd,7100,Dundas St E / Regent Park Blvd,Member,43.660207,-79.361275,43.660207,-79.361275
712511,2017/1/1 9:59,2017/1/1 10:08,522,7030,Bay St / Wellesley St W,7027,Beverly  St / Dundas St W,Member,43.664088,-79.387095,43.652823,-79.393388
712512,2017/1/1 10:11,2017/1/1 10:24,763,7020,Phoebe St / Spadina Ave,7203,Bathurst St / Queens Quay W,Member,43.650033,-79.396555,43.635492,-79.398253
712513,2017/1/1 11:14,2017/1/1 11:24,615,7004,University Ave / Elm St,7042,Sherbourne St / Wellesley St,Member,43.656518,-79.389099,43.6673,-79.374
712514,2017/1/1 11:22,2017/1/1 11:31,559,7101,Lower Sherbourne St / The Esplanade,7043,Queens Quay W / Lower Simcoe St,Member,43.648655,-79.367061,43.63951,-79.383717
